,Strategy,Strategy_ID,Leverage,Total_Return,Final_Capital,Sharpe_Ratio,Max_Drawdown,Win_Rate,Total_Trades,Winning_Trades,Trades_Per_Day,Trades_Per_Active_Day,Fast_SMA,Slow_SMA,RSI_Period,RSI_Oversold,RSI_Overbought,Granularity
0,sma,sma_5min_fast9_slow50_lev10_risk2.0_pos80,10,179.4628314065884,558.9256628131768,0.4068279171825825,-16.75305610622545,0.0,0,0,0.0,0.0,9,50,14,30,70,5min
1,sma,sma_5min_fast9_slow100_lev10_risk2.0_pos80,10,176.27190797439897,552.5438159487979,0.3820848251126217,-19.554446439683804,0.0,0,0,0.0,0.0,9,100,14,30,70,5min
2,sma,sma_5min_fast9_slow50_lev10_risk2.0_pos80_tp6.0,10,273.92720786184236,747.8544157236847,0.29807106550948664,-54.08737383215032,33.70165745856354,181,61,5.171428571428572,5.171428571428572,9,50,14,30,70,5min
3,sma,sma_5min_fast9_slow100_lev10_risk2.0_pos80_tp6.0,10,120.48717165002498,440.97434330004995,0.22135850067158958,-56.81901876349297,33.6,125,42,3.5714285714285716,3.5714285714285716,9,100,14,30,70,5min
4,sma,sma_5min_fast20_slow50_lev10_risk2.0_pos80,10,193.05950489418638,586.1190097883728,0.4115532122611424,-17.00401314437069,0.0,0,0,0.0,0.0,20,50,14,30,70,5min
5,sma,sma_5min_fast20_slow100_lev10_risk2.0_pos80,10,204.09796378872568,608.1959275774514,0.45526305532319383,-15.425418036316024,0.0,0,0,0.0,0.0,20,100,14,30,70,5min
6,sma,sma_5min_fast20_slow50_lev10_risk2.0_pos80_tp6.0,10,310.18633355412436,820.3726671082487,0.3199309773675761,-54.62393870489335,35.22012578616352,159,56,4.542857142857143,4.542857142857143,20,50,14,30,70,5min
7,sma,sma_5min_fast20_slow100_lev10_risk2.0_pos80_tp6.0,10,-11.542771787973237,176.91445642405353,0.026521158689934668,-63.63109726403393,28.440366972477065,109,31,3.1142857142857143,3.1142857142857143,20,100,14,30,70,5min
8,rsi,rsi_5min_fast9_slow50_rsi14_30_70_lev10_risk2.0_pos80,10,359.7941082065725,919.588216413145,0.2749087600160655,-62.16315381179219,34.48275862068966,522,180,14.914285714285715,14.914285714285715,9,50,14,30,70,5min
9,rsi,rsi_5min_fast9_slow100_rsi14_30_70_lev10_risk2.0_pos80,10,357.11447636590947,914.2289527318189,0.2750157857864985,-62.16315381179217,34.42307692307692,520,179,14.857142857142858,14.857142857142858,9,100,14,30,70,5min
10,rsi,rsi_5min_fast9_slow50_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,53.43486337388944,306.8697267477789,0.15640292145254145,-65.11241676858344,37.243947858473,537,200,15.342857142857143,15.342857142857143,9,50,14,30,70,5min
11,rsi,rsi_5min_fast9_slow100_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,52.540661081979614,305.0813221639592,0.15605980029682812,-65.11241676858344,37.19626168224299,535,199,15.285714285714286,15.285714285714286,9,100,14,30,70,5min
12,rsi,rsi_5min_fast20_slow50_rsi14_30_70_lev10_risk2.0_pos80,10,359.7941082065725,919.588216413145,0.2749087600160655,-62.16315381179219,34.48275862068966,522,180,14.914285714285715,14.914285714285715,20,50,14,30,70,5min
13,rsi,rsi_5min_fast20_slow100_rsi14_30_70_lev10_risk2.0_pos80,10,357.11447636590947,914.2289527318189,0.2750157857864985,-62.16315381179217,34.42307692307692,520,179,14.857142857142858,14.857142857142858,20,100,14,30,70,5min
14,rsi,rsi_5min_fast20_slow50_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,53.43486337388944,306.8697267477789,0.15640292145254145,-65.11241676858344,37.243947858473,537,200,15.342857142857143,15.342857142857143,20,50,14,30,70,5min
15,rsi,rsi_5min_fast20_slow100_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,52.540661081979614,305.0813221639592,0.15605980029682812,-65.11241676858344,37.19626168224299,535,199,15.285714285714286,15.285714285714286,20,100,14,30,70,5min
16,combined,combined_5min_fast9_slow50_rsi14_30_70_lev10_risk2.0_pos80,10,1.8341594717530114,203.66831894350602,0.04662017962319021,-45.70129303225234,0.0,12,0,0.34285714285714286,1.3333333333333333,9,50,14,30,70,5min
17,combined,combined_5min_fast9_slow100_rsi14_30_70_lev10_risk2.0_pos80,10,-66.4511044895217,67.0977910209566,-0.2929139745773246,-70.99208838497077,0.0,23,0,0.6571428571428571,1.2777777777777777,9,100,14,30,70,5min
18,combined,combined_5min_fast9_slow50_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,12.272138877132193,224.54427775426439,0.07697574512876874,-46.42471544514855,30.555555555555557,36,11,1.0285714285714285,1.565217391304348,9,50,14,30,70,5min
19,combined,combined_5min_fast9_slow100_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,7.551373394819365,215.10274678963873,0.06007282262949572,-41.94943414264131,31.25,32,10,0.9142857142857143,1.391304347826087,9,100,14,30,70,5min
20,combined,combined_5min_fast20_slow50_rsi14_30_70_lev10_risk2.0_pos80,10,20.71146792799874,241.42293585599748,0.10027870888655992,-41.90987527369977,0.0,10,0,0.2857142857142857,1.1111111111111112,20,50,14,30,70,5min
21,combined,combined_5min_fast20_slow100_rsi14_30_70_lev10_risk2.0_pos80,10,125.51971311674149,451.03942623348297,0.28835995977575135,-25.365439007585756,0.0,0,0,0.0,0.0,20,100,14,30,70,5min
22,combined,combined_5min_fast20_slow50_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,-6.988135517327819,186.02372896534436,-0.00027482645074789787,-37.44349803952678,28.125,32,9,0.9142857142857143,1.28,20,50,14,30,70,5min
23,combined,combined_5min_fast20_slow100_rsi14_30_70_lev10_risk2.0_pos80_tp6.0,10,-18.53876248068795,162.9224750386241,-0.11749087185353668,-32.74794437088231,20.0,15,3,0.42857142857142855,1.0,20,100,14,30,70,5min
